2025-07-22 13:26:56 | INFO | __main__ | Deleted old log: 2025-06-12_13-15-56.log
2025-07-22 13:26:59 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:27:26 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:29:24 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:29:25 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:29:29 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:30:02 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:30:03 | CRITICAL | __main__ | App crashed.
2025-07-22 13:30:08 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:30:09 | CRITICAL | __main__ | App crashed.
