2025-07-22 12:13:54 | INFO | __main__ | Deleted old log: 2025-06-12_12-51-33.log
2025-07-22 12:14:06 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:14:12 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:16:05 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:16:06 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:16:39 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:16:45 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:17:06 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:17:07 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:17:11 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:23:35 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 12:23:35 | INFO | __main__ | Marine regulatory indexes already exist.
