2025-07-22 13:31:46 | INFO | __main__ | Deleted old log: 2025-06-13_10-23-29.log
2025-07-22 13:31:58 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:32:34 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:33:50 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:34:17 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:34:18 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:34:45 | INFO | __main__ | Vector store created for Port Operations.pdf with 57 chunks.
2025-07-22 13:42:39 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:42:39 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:42:44 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:42:56 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:42:56 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:43:06 | INFO | __main__ | Marine regulatory indexes already exist.
2025-07-22 13:43:08 | INFO | __main__ | Marine regulatory indexes already exist.
